,filename,optimization_type,line_reduction
0,quadratic.bril,tdce,5
1,montgomery.bril,tdce,12
2,primes-between.bril,tdce,3
3,mod_pow.bril,tdce,1
4,orders.bril,tdce,21
5,sum-check.bril,tdce,8
6,palindrome.bril,tdce,4
7,rot13.bril,tdce,2
8,totient.bril,tdce,18
9,fib_recursive.bril,tdce,2
10,relative-primes.bril,tdce,2
11,hanoi.bril,tdce,8
12,is-decreasing.bril,tdce,3
13,squares.bril,tdce,3
14,graycode.bril,tdce,16
15,grad_desc.bril,tdce,11
16,check-primes.bril,tdce,4
17,sum-sq-diff.bril,tdce,3
18,fitsinside.bril,tdce,2
19,hamming.bril,tdce,4
20,fact.bril,tdce,6
21,loopfact.bril,tdce,2
22,recfact.bril,tdce,2
23,geometric-sum.bril,tdce,21
24,sum-to-ten.bril,tdce,1
25,legendre.bril,tdce,19
26,factors.bril,tdce,13
27,perfect.bril,tdce,1
28,binpow.bril,tdce,3
29,bitshift.bril,tdce,1
30,digital-root.bril,tdce,12
31,tail-call.bril,tdce,1
32,up-arrow.bril,tdce,10
33,mccarthy91.bril,tdce,3
34,sum-divisors.bril,tdce,6
35,permutation.bril,tdce,2
36,combination.bril,tdce,23
37,bin-search.bril,tdce,2
38,ackermann.bril,tdce,5
39,pythagorean_triple.bril,tdce,17
40,braille.bril,tdce,96
41,gebmm.bril,tdce,37
42,euclid.bril,tdce,1
43,bbs.bril,tdce,7
44,sum-of-cubes.bril,tdce,4
45,binary-fmt.bril,tdce,5
46,dayofweek.bril,tdce,2
47,lcm.bril,tdce,2
48,gcd.bril,tdce,13
49,triangle.bril,tdce,3
50,catalan.bril,tdce,4
51,gpf.bril,tdce,24
52,armstrong.bril,tdce,5
53,pascals-row.bril,tdce,3
54,collatz.bril,tdce,8
55,sum-bits.bril,tdce,2
56,arithmetic-series.bril,tdce,1
57,sqrt_bin_search.bril,tdce,4
58,mountain.bril,tdce,14
59,rectangles-area-difference.bril,tdce,2
60,mod_inv.bril,tdce,28
61,karatsuba.bril,tdce,25
62,reverse.bril,tdce,2
63,sum-divisible-by-m.bril,tdce,3
64,fizz-buzz.bril,tdce,5
65,bitwise-ops.bril,tdce,19
66,sum-digits.bril,tdce,2
67,delannoy.bril,tdce,19
68,quadratic.bril,lvn,3
69,montgomery.bril,lvn,12
70,primes-between.bril,lvn,3
71,mod_pow.bril,lvn,1
72,orders.bril,lvn,21
73,sum-check.bril,lvn,8
74,palindrome.bril,lvn,4
75,rot13.bril,lvn,2
76,totient.bril,lvn,18
77,fib_recursive.bril,lvn,2
78,relative-primes.bril,lvn,0
79,hanoi.bril,lvn,8
80,is-decreasing.bril,lvn,3
81,squares.bril,lvn,2
82,graycode.bril,lvn,15
83,grad_desc.bril,lvn,11
84,check-primes.bril,lvn,2
85,sum-sq-diff.bril,lvn,1
86,fitsinside.bril,lvn,2
87,hamming.bril,lvn,4
88,fact.bril,lvn,5
89,loopfact.bril,lvn,1
90,recfact.bril,lvn,1
91,geometric-sum.bril,lvn,21
92,sum-to-ten.bril,lvn,0
93,legendre.bril,lvn,19
94,factors.bril,lvn,13
95,perfect.bril,lvn,1
96,binpow.bril,lvn,3
97,bitshift.bril,lvn,1
98,digital-root.bril,lvn,12
99,tail-call.bril,lvn,1
100,up-arrow.bril,lvn,10
101,mccarthy91.bril,lvn,3
102,sum-divisors.bril,lvn,6
103,permutation.bril,lvn,1
104,combination.bril,lvn,23
105,bin-search.bril,lvn,1
106,ackermann.bril,lvn,5
107,pythagorean_triple.bril,lvn,17
108,braille.bril,lvn,46
109,gebmm.bril,lvn,37
110,euclid.bril,lvn,0
111,bbs.bril,lvn,7
112,sum-of-cubes.bril,lvn,4
113,binary-fmt.bril,lvn,5
114,dayofweek.bril,lvn,1
115,lcm.bril,lvn,2
116,gcd.bril,lvn,13
117,triangle.bril,lvn,3
118,catalan.bril,lvn,4
119,gpf.bril,lvn,22
120,armstrong.bril,lvn,4
121,pascals-row.bril,lvn,0
122,collatz.bril,lvn,8
123,sum-bits.bril,lvn,2
124,arithmetic-series.bril,lvn,1
125,sqrt_bin_search.bril,lvn,1
126,mountain.bril,lvn,14
127,rectangles-area-difference.bril,lvn,2
128,mod_inv.bril,lvn,25
129,karatsuba.bril,lvn,25
130,reverse.bril,lvn,2
131,sum-divisible-by-m.bril,lvn,3
132,fizz-buzz.bril,lvn,1
133,bitwise-ops.bril,lvn,18
134,sum-digits.bril,lvn,1
135,delannoy.bril,lvn,18
136,quadratic.bril,combined,5
137,montgomery.bril,combined,12
138,primes-between.bril,combined,3
139,mod_pow.bril,combined,1
140,orders.bril,combined,21
141,sum-check.bril,combined,8
142,palindrome.bril,combined,4
143,rot13.bril,combined,2
144,totient.bril,combined,18
145,fib_recursive.bril,combined,2
146,relative-primes.bril,combined,2
147,hanoi.bril,combined,8
148,is-decreasing.bril,combined,3
149,squares.bril,combined,3
150,graycode.bril,combined,16
151,grad_desc.bril,combined,11
152,check-primes.bril,combined,4
153,sum-sq-diff.bril,combined,3
154,fitsinside.bril,combined,2
155,hamming.bril,combined,4
156,fact.bril,combined,6
157,loopfact.bril,combined,2
158,recfact.bril,combined,2
159,geometric-sum.bril,combined,21
160,sum-to-ten.bril,combined,1
161,legendre.bril,combined,19
162,factors.bril,combined,13
163,perfect.bril,combined,1
164,binpow.bril,combined,3
165,bitshift.bril,combined,1
166,digital-root.bril,combined,12
167,tail-call.bril,combined,1
168,up-arrow.bril,combined,10
169,mccarthy91.bril,combined,3
170,sum-divisors.bril,combined,6
171,permutation.bril,combined,2
172,combination.bril,combined,23
173,bin-search.bril,combined,2
174,ackermann.bril,combined,5
175,pythagorean_triple.bril,combined,17
176,braille.bril,combined,96
177,gebmm.bril,combined,37
178,euclid.bril,combined,1
179,bbs.bril,combined,7
180,sum-of-cubes.bril,combined,4
181,binary-fmt.bril,combined,5
182,dayofweek.bril,combined,2
183,lcm.bril,combined,2
184,gcd.bril,combined,13
185,triangle.bril,combined,3
186,catalan.bril,combined,4
187,gpf.bril,combined,24
188,armstrong.bril,combined,5
189,pascals-row.bril,combined,3
190,collatz.bril,combined,8
191,sum-bits.bril,combined,2
192,arithmetic-series.bril,combined,1
193,sqrt_bin_search.bril,combined,4
194,mountain.bril,combined,14
195,rectangles-area-difference.bril,combined,2
196,mod_inv.bril,combined,28
197,karatsuba.bril,combined,25
198,reverse.bril,combined,2
199,sum-divisible-by-m.bril,combined,3
200,fizz-buzz.bril,combined,5
201,bitwise-ops.bril,combined,19
202,sum-digits.bril,combined,2
203,delannoy.bril,combined,19
